epoch,step,global_step,loss,lr,train_acc_or_mse
1,100,100,0.6671783328056335,3.960396039603961e-06,0.75
1,200,200,0.6980388164520264,7.920792079207921e-06,0.46875
1,300,300,0.5285685658454895,1.1881188118811881e-05,0.9375
1,400,400,0.47219425439834595,1.5841584158415843e-05,0.90625
1,500,500,0.43233901262283325,1.9801980198019803e-05,0.90625
1,600,600,0.36044150590896606,1.9759949463044853e-05,0.96875
1,700,700,0.4022378623485565,1.950726468730259e-05,0.90625
1,800,800,0.3613567650318146,1.925457991156033e-05,0.9375
1,900,900,0.39448219537734985,1.900189513581807e-05,0.875
1,1000,1000,0.4913472831249237,1.8749210360075807e-05,0.8125
1,1100,1100,0.3295808732509613,1.8496525584333546e-05,0.9375
1,1200,1200,0.3648989498615265,1.8243840808591284e-05,0.90625
1,1300,1300,0.4617858827114105,1.7991156032849023e-05,0.84375
1,1400,1400,0.3147023618221283,1.773847125710676e-05,0.9375
1,1500,1500,0.4533475637435913,1.74857864813645e-05,0.8125
1,1600,1600,0.3946663737297058,1.723310170562224e-05,0.875
1,1700,1700,0.34179261326789856,1.6980416929879977e-05,0.90625
1,1800,1800,0.35927706956863403,1.6727732154137716e-05,0.875
1,1900,1900,0.2888733148574829,1.647504737839545e-05,0.9375
1,2000,2000,0.2879434823989868,1.6222362602653193e-05,0.9375
1,2100,2100,0.3324144780635834,1.596967782691093e-05,0.90625
2,2200,2200,0.23921635746955872,1.5716993051168667e-05,0.96875
2,2300,2300,0.2759787440299988,1.5464308275426406e-05,0.9375
2,2400,2400,0.2802228629589081,1.5211623499684144e-05,0.9375
2,2500,2500,0.3135559856891632,1.4958938723941883e-05,0.90625
2,2600,2600,0.31233200430870056,1.4706253948199623e-05,0.875
2,2700,2700,0.26917216181755066,1.445356917245736e-05,0.9375
2,2800,2800,0.21494406461715698,1.42008843967151e-05,0.96875
2,2900,2900,0.32961732149124146,1.3948199620972837e-05,0.90625
2,3000,3000,0.2949298918247223,1.3695514845230576e-05,0.90625
2,3100,3100,0.2819420397281647,1.3442830069488314e-05,0.9375
2,3200,3200,0.3164224326610565,1.3190145293746053e-05,0.90625
2,3300,3300,0.30720752477645874,1.293746051800379e-05,0.90625
2,3400,3400,0.3475320041179657,1.268477574226153e-05,0.875
2,3500,3500,0.3158223032951355,1.2432090966519267e-05,0.875
2,3600,3600,0.1240626722574234,1.2179406190777006e-05,1.0
2,3700,3700,0.3544173538684845,1.1926721415034746e-05,0.875
2,3800,3800,0.19824014604091644,1.1674036639292483e-05,0.96875
2,3900,3900,0.29203614592552185,1.1421351863550223e-05,0.90625
2,4000,4000,0.440626859664917,1.116866708780796e-05,0.84375
2,4100,4100,0.3078145384788513,1.0915982312065699e-05,0.90625
2,4200,4200,0.27840936183929443,1.0663297536323437e-05,0.90625
3,4300,4300,0.17928898334503174,1.0410612760581176e-05,0.96875
